Unit,Unit Name
U25911,Richard Yates Elementary School
U25921,Ella Flagg Young School
U25931,Ludwig Von Beethoven School
U25951,Richard J Daley Academy
U25991,Joseph Brennemann School
U26021,Willa Cather School
U26031,Robert Nathaniel Dett Elementary School
U26051,Anton Dvorak Specialty Academy
U26061,Jackie R Robinson
U26191,Arthur R Ashe Jr Elementary School
U26231,James Weldon Johnson Elementary School of Excellence
U26251,Irvin C Mollison School
U26281,Henry O Tanner School
U26291,Adam Clayton Powell Jr Paideia Community Academy
U26301,Ronald E Mcnair Academic Center School
U26331,Richard Henry Lee School
U26351,Genevieve Melody School
U26381,Oliver S Westcott Elementary School
U26391,George Leland Elementary School
U26421,Mary E Mcdowell Elementary School
U26431,Edward H White Career Academy 
U26441,Amelia Earhart Options For Knowledge Specialty School
U26591,Medgar Evers School
U26601,William E B Dubois School
U26631,Oscar Depriest School
U26651,Mahalia Jackson School
U26721,Sandoval Elementary School
U26751,Johnnie Colemon School
U26791,Tarkington School of Excellence
U26821,Calmeca Academy of Fine Arts and Dual Language
U26831,Durkin Park School
U26881,Suder Montessori Magnet School
U26891,Velma Thomas Early Childhood Center
U26921,Disney II Magnet School
U27091,James Shields Middle School
U28081,Edison Park Elementary School
U29011,Thomas A Edison Regional Gifted Center
U29021,Burnside Scholastic Academy
U29031,Stephen Decatur Classical School
U29041,Turner-Drew Language Academy
U29051,Leif Ericson Scholastic Academy
U29071,Gerald Delgado Kanoon Magnet School
U29081,Franklin Fine Arts Center
U29091,Matthew Gallistel Language Academy
U29101,LaSalle Language Magnet School
U29111,A Philip Randolph Magnet School
U29141,Galileo Scholastic Academy Of Math & Science
U29161,Lasalle Language Academy School
U29171,Andrew Jackson Language Academy
U29191,Inter-American Magnet School
U29201,Mark Sheridan Mathematics & Science Academy
U29221,Philip Murray Language Academy
U29231,Walter L Newberry Mathematics & Science Academy
U29241,William Bishop Owen Scholastic Academy School
U29251,John J. Pershing East Magnet School
U29261,Edgar Allan Poe Classical School
U29271,Harriet E Sayre Language Academy
U29281,Mark Skinner School
U29291,Stone Scholastic Academy
U29301,Ole A Thorp Scholastic Academy
U29311,John H Vanderpoel Magnet School
U29321,Beasley Academic Center Magnet School
U29341,Jensen Scholastic Academy School
U29361,Ted Lenart Regional Gifted Center
U29371,Albert R Sabin Magnet School
U29381,Robert A Black Magnet School
U29401,Walt Disney Magnet School
U30031,Walter S Christopher School
U30101,Ruben Salazar Bilingual Education Center School
U30141,Courtenay Language Arts Center
U31041,Crown Community Academy Fine Arts Center
U31061,Ralph H Metcalfe Community Academy
U31101,Ninos Heroes Academic Center
U31111,John Hay Community Academy
U31121,Thomas A Hendricks Community Academy
U31141,Pilsen Community Academy
U31151,Charles Kozminski Community Academy
U31161,Lawndale Community Academy
U31181,Francis W Parker Community Academy
U31201,Parkside Community Academy
U31211,Casimir Pulaski International Academy
U31221,Charles Sumner Mathematics & Science Community Academy
U31301,Claremont Academy
U32021,Lionel Hampton Fine and Performing Arts School
U32081,Ashburn Community Area School
U45211,Chicago Academy Elementary School
U66074,Chicago International Charter School (CICS)-Irving Park Campus
U47061,Senn Metropolitan Academy Of Liberal Arts & Technology
U25471,Adlai E Stevenson School
U23311,Joseph E Gary School
U41111,Ames Middle School
U22901,Charles Gates Dawes School
U22581,Dr Jorge Prieto Math and Science Academy
U24531,James Monroe School
U41091,Logandale Middle School
U25521,Harriet Beecher Stowe School
U23491,Nathan Hale School
U25071,William H Ray School
U23511,John H Hamline Elementary School
U24991,Laura S Ward School
U24191,Abraham Lincoln Elementary School
U23771,Theodore Herzl School
U24651,Jane A Neil School
U23061,George W Curtis Elementary School
U22031,Louis J Agassiz School
U23481,John C Haines School
U25561,Elizabeth H Sutherland School
U23031,Charles W Earle School
U23541,Finkl Academy
U26451,Brighton Park Elementary School
U29131,Hawthorne Scholastic Academy
U46111,Christian Fenger Academy
U24911,William Penn School
U25731,John A Walsh Elementary School
U22481,John C Burroughs School
U23241,Fort Dearborn Elementary School
U23881,Paul Cuffe Elementary School
U24151,Leslie Lewis School
U26781,Talman School
U26841,North River Elementary School
U25291,Franz Peter Schubert School
U22611,William W Carter School
U41061,Frederick A Douglass Academy High School
U23231,Telpochcalli School 
U46261,Wendell Phillips Academy
U24101,Rodolfo Lozano Bilingual & International Center
U22471,Jonathan Burr Elementary School
U29411,Frazier International Magnet Elementary School
U25341,William T. Sherman Elementary School of Excellence
U46391,George Henry Corliss High School
U22191,George Rogers Clark Elementary School
U25021,William H Prescott School
U32031,National Teachers' Academy (NTA)
U25041,George M Pullman School
U22641,Ira F Aldridge Elementary School
U25301,William H Seward Communication Arts Academy
U46521,Devry University Advantage Academy
U66411,Austin Business and Entrepreneurship Academy
U24241,Joseph Lovett School
U29181,James E Mcdade Classical School
U55171,School of Social Justice (at Little Village)
U22021,Jane Addams School
U25571,George B Swift Specialty School
U29121,Frank W Gunsaulus Scholastic Academy School
U25491,Edward F Dunne School
U22731,Henry Clay Elementary School
U23821,Charles N Holden School
U22391,Lyman A Budlong School
U24771,Oriole Park School
U23711,Helen M Hefferan School
U23351,Samuel Gompers Fine Arts Option School (Fomerly Jesse Owens) 
U22701,Salmon P Chase School
U25941,Carrie Jacobs Bond
U23931,Minnie Mars Jamieson School
U22041,Louisa May Alcott School
U46271,Theodore Roosevelt High School
U23721,Charles R Henderson School
U26201,John T Mccutcheon School
U23261,Foster Park School
U23961,Joseph Jungman School
U29151,Maria Saucedo Scholastic Academy
U31081,Stephen F Gale Community Academy
U25591,Douglas Taylor Elementary School
U29391,Sir Miles Davis Magnet School
U46201,John F Kennedy High School
U29211,Annie Keller Regional Gifted Magnet School
U22151,Clara W Barton School
U23221,John Fiske School
U24601,Mount Vernon Elementary School
U24461,Hanson Park School
U26541,Carter G Woodson South
U22161,Perkins Bass School
U22432,Burnham/Anthony Inclusive Academy
U22501,Michael M Byrne School
U23801,William G Hibbard School
U24731,William B Ogden School
U26141,John Foster Dulles Elementary School of Excellence
U26701,Fairfield Academy
U26772,Belmont-Cragin Early Childhood Demonstration Center
U63051,Chicago High School for the Arts
U63061,Community Services West Academy
U25101,Frank W Reilly School
U66591,The Montessori School of Englewood Charter
U25191,William H Ryder Math/Science Specialty School
U53041,Charles Allen Prosser Career Academy
U22661,Horace Greeley School
U63132,Instituto Justice and Leadership Academy Charter High School (IJLA)
U26321,Benjamin E Mays Academy
U24981,Ambrose Plamondon School
U28151,Orr Academy
U46421,Benito Juarez High School
U66481,Chicago Virtual Charter School
U63041,Kwame Nkrumah Academy
U66311,Betty Shabazz International Charter School-DuSable Leadership
U66491,Prologue Early College High School
U66581,Joshua Johnston Charter School for Fine Art and Design
U66641,Legal Prep Charter Academy
U66111,University of Chicago Charter School - North Kenwood/Oakland (NKO) Camp
U66601,UNO Charter School - Esmeralda Santiago Elementary Charter School
U46311,William Howard Taft High School
U46321,Lincoln Park High School
U46361,Kenwood Academy
U47021,William Jones College Prep High School
U51071,William H Wells Community Academy High School
U53101,Marie Sklodowska Curie Metropolitan High School
U55011,Phoenix Military Academy
U55151,"Infinity Math, Science and Technology High School (at Little Village)"
U66392,UNO Charter School - Bartolom de las Casas Campus
U66391,UNO Charter School - Rufino Tamayo Campus
U66171,Young Women's Leadership Charter School
U66113,University of Chicago Charter School - Woodson South Campus
U66341,Galapagos Charter School
U63031,Hope Institute Learning Academy
U66551,Amandla Charter School
U66051,Perspectives Charter School - Rodney D. Joslin Campus
U66077,Chicago International Charter School (CICS) Larry Hawkins Campus
U66651,Chicago Intl Charter - Chicago Quest North
U66441,Urban Prep Academy for Young Men Charter School-Englewood Campus
U66561,LEARN Charter School - Excel Campus
U63091,Chicago Tech Academy High School
U66321,University of Chicago Charter School - Donoghue Campus
U66331,Erie Elementary Charter School
U63141,Excel Academy Chicago - Camelot Schools
U66076,Chicago International Charter School - Lloyd Bond Campus
U66442,Urban Prep Charter Academy for Young Men High School - Bronzeville Camp
U66271,Namaste Charter School
U66564,LEARN Charter School - Hunter Perkins
U66092,North Lawndale College Preparatory Charter High School - Collins Campus
U49091,Hope College Prep High School
U67081,Polaris Charter Academy
U66563,LEARN Charter School - South Chicago Campus
U26901,Frazier Prepartatory Academy
U63071,Urban Prep Charter Academy for Young Men High School - West Campus
U66161,Chicago International Charter School (CICS)- Prairie Campus
U66131,UNO Charter School - Octavio Paz Campus
U66371,Chicago International Charter School (CICS)- Avalon/South Shore Campus
U66471,Providence Englewood Charter School - Bunche Campus
U66072,Chicago International Charter School (CICS)- Ralph Ellison Campus
U67071,Legacy Charter School
U66562,LEARN Charter Elementary School - Charles and Dorothy Campbell
U66053,Perspectives Charter School- Calumet High School of Technology
U66421,Bronzeville Lighthouse Charter School
U66575,Noble Street Charter High School - DRW Trading College Prep
U66151,Alain Locke Charter School
U66574,Noble Street Charter High School - Hansberry High School
U66181,Chicago International Charter School (CICS)- Washington Park Campus
U66291,"Architecture, Construction and Engineering (ACE) Technical Charter School"
U63021,Plato Learning Academy
U63081,EPIC Academy
U66221,Chicago International Charter School (CICS)- West Belden Campus
U66432,Catalyst Elementary School - Circle Rock
U66254,ASPIRA Charter - Early College Campus
U66056,Perspectives Charter School - Math and Science Campus
U66141,Noble Street Charter School
U66398,UNO Charter School - Sandra Cisneros Campus
U66393,UNO Charter School - Carlos Fuentes Campus
U66571,Rowe Elementary School
U66351,ASPIRA Charter-Haugan Middle School Campus
U66112,University of Chicago Charter High School - Woodlawn Campus
U66145,Noble Street Charter High School - Golder Campus
U66143,Noble Street Charter High School - Rauner College Prep Campus
U46141,Gage Park High School
U66133,UNO Charter School - Near West Elementary Campus
U66399,UNO 51st and Homan Charter Elementary School
U66397,UNO Charter School- Officer Donald Marquez Campus
